"dist_band","tons_2018","tons_2019","tons_2020","tons_2021","tons_2022","tons_2023","tons_2024"
1,"7360250.174310","7295891.877480","6866800.625227","7094431.504391","7168902.626373","7183548.219038","7142926.158069"
2,"7557202.595451","7490735.463814","7292403.584339","7495970.134281","7502728.390317","7579234.669666","7649581.570575"
3,"2422027.715461","2454573.538548","2361879.046068","2405886.139882","2422089.492932","2459046.671270","2444667.857641"
4,"788708.871222","786082.977452","730626.814744","749300.114423","763528.537456","772947.472631","767331.918912"
5,"652977.553638","655852.595297","615242.523244","632897.228331","641778.805320","671895.548943","668458.640098"
6,"845050.004256","814502.583984","743061.171688","770179.283362","780300.375619","800330.594428","789297.204925"
7,"276000.765399","267613.014268","242548.359829","249211.617924","256892.179268","255522.763725","251784.077398"
8,"231634.510931","224633.968568","219449.189805","219199.868856","219099.940468","214738.930402","210496.213736"
