"dist_band","total_tons","total_value","avg_miles_per_ton"
1,"7142926.158069","5468067.210584","0.04"
2,"7649581.570575","4952858.254393","0.16"
3,"2444667.857641","2745708.933542","0.34"
4,"767331.918912","1278163.898915","0.61"
5,"668458.640098","1043940.923234","0.86"
6,"789297.204925","1327408.229145","1.23"
7,"251784.077398","652433.208713","1.71"
8,"210496.213736","1088705.931707","2.54"
